name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,,,,windgust,windspeed,winddir,,cloudcover,,,solarenergy
"Delhi,India",01-09-2024,35,28,31.7,45.4,34.5,41.1,26.9,76.9,0,0,0,,,,11.2,11.2,303,,46.6,,,21.2
"Delhi,India",02-09-2024,32.2,27,29.3,41.9,31.2,37,26.8,86.6,19.744,100,8.33,,,,25.6,13,98.8,,72.8,,,16.5
"Delhi,India",03-09-2024,35.1,28,30.9,45,33.1,39.2,26.5,79.1,0,0,0,,,,22.7,18.4,92.4,,65.7,,,21.3
"Delhi,India",04-09-2024,31,24,26.9,37.6,24,29.9,25.1,90,2.3,100,16.67,,,,33.5,14.8,317.6,,86.5,,,11
"Delhi,India",05-09-2024,32,24,28.3,39.1,24,32.9,25.4,85.3,10.6,100,62.5,,,,20.2,7.6,139,,81.7,,,16.2
"Delhi,India",06-09-2024,32,26,28,39.1,26,32.2,25.5,86.9,16,100,66.67,,,,23.4,18.4,103.7,,86.3,,,18.9
"Delhi,India",07-09-2024,32,26,27.2,39.1,26,29,25,88.5,13.3,100,29.17,,,,23.8,20.5,90.6,,92,,,11.5
"Delhi,India",08-09-2024,30.8,26,28.1,35.2,26,31.3,24.5,81.9,0.9,100,16.67,,,,11.9,13,292.6,,81.1,,,7.8
"Delhi,India",09-09-2024,36.4,27.4,31.6,41,29.7,35.7,22.5,59.4,0,41.9,0,,,,11.2,15.1,28,,34.1,,,18.9
"Delhi,India",10-09-2024,37.2,29.3,32.7,42.4,33.5,37.5,22.9,57.3,0.5,32.3,12.5,,,,8.6,10.8,50.3,,34.1,,,14
"Delhi,India",11-09-2024,36,29.1,31.7,41.6,33.8,36.8,23.6,62.9,5.3,41.9,45.83,,,,18,12.2,143.9,,55.9,,,14.6
"Delhi,India",12-09-2024,33.2,27.6,29.5,37.5,30.3,33.4,23.2,69.4,3.1,45.2,29.17,,,,25.2,21.2,108.1,,64.8,,,20.4
"Delhi,India",13-09-2024,32.1,25.2,27.7,35.8,25.2,29.2,21.8,70.7,0.2,29,4.17,,,,27.7,15.1,92,,87.1,,,16.7
"Delhi,India",14-09-2024,33.8,25,28.4,37.7,25,30,21.3,66.2,0.5,9.7,4.17,,,,25.6,19.1,102.8,,77.2,,,20.7
"Delhi,India",15-09-2024,36.4,26.4,30.8,39.9,26.4,33.3,21.4,58.6,0.1,12.9,4.17,,,,17.6,12.2,91.8,,26.7,,,21.3
"Delhi,India",16-09-2024,37.2,29.6,33,38.3,31.3,34.7,19,44.7,0,6.5,0,,,,26.3,18.7,311.2,,0.7,,,21.9
"Delhi,India",17-09-2024,36.8,29.2,32.8,37.7,29.5,33.6,17.5,40.8,0,9.7,0,,,,26.6,17.3,327.4,,9.4,,,21.6
"Delhi,India",18-09-2024,36.6,29.9,32.7,40.3,32.3,36.5,21.8,53.7,0,12.9,0,,,,18,16.6,84.6,,35.9,,,19.8
"Delhi,India",19-09-2024,36.9,29.7,32.6,40.7,34,37.2,22.8,56.9,0.1,16.1,4.17,,,,17.6,11.2,115.6,,71.5,,,16.5
"Delhi,India",20-09-2024,38.1,30.5,34,41.5,35.1,38.1,21.9,50.6,0.1,16.1,4.17,,,,11.6,14.4,75.7,,62.1,,,19.8
"Delhi,India",21-09-2024,39.2,31.8,35,40.7,35.3,37.7,20,42.8,0,22.6,0,,,,16.4,15.8,89.1,,5.5,,,20.7
"Delhi,India",22-09-2024,40,31.9,34.7,41.2,35.5,38.1,20.9,46,0,25.8,0,,,,28.8,18.7,120.1,,16.3,,,20.1
